mastery,difficulty,correct
0.236662,2,0
0.746014,1,1
0.816569,2,1
0.105278,2,0
0.066559,2,0
0.594434,2,1
0.146173,2,0
0.824664,1,1
0.310335,1,1
0.143872,3,0
0.920970,1,1
0.165532,1,0
0.284720,3,0
0.153613,2,0
0.115490,2,0
0.021148,2,0
0.055395,1,0
0.174641,3,0
0.053382,2,0
0.591144,3,0
0.680715,3,1
0.393630,2,1
0.317991,2,0
0.504526,2,1
0.875005,2,1
0.851132,2,1
0.043475,3,0
0.181498,2,0
0.236745,1,1
0.249388,3,0
0.571233,3,0
0.416262,3,0
0.049254,3,0
0.373614,1,1
0.523753,1,1
0.101672,1,0
0.833459,1,1
0.051962,2,0
0.924842,1,1
0.099113,2,0
0.843575,2,1
0.902653,3,1
0.979571,2,1
0.802026,3,1
0.779478,3,1
0.642483,2,1
0.778996,2,1
0.134552,1,1
0.536068,3,0
0.514223,2,1
0.857572,1,1
0.462799,3,0
0.385089,1,0
0.639563,1,1
0.266463,2,0
0.139768,1,0
0.477877,1,1
0.416889,3,0
0.232570,2,0
0.367512,1,0
0.366392,3,0
0.327496,3,0
0.379464,2,1
0.685743,1,1
0.296876,2,0
0.948858,3,1
0.916348,1,1
0.480910,3,0
0.328361,2,0
0.535435,2,1
0.848560,2,1
0.652587,1,1
0.804392,2,1
0.532722,2,1
0.632918,2,1
0.288156,3,0
0.734893,2,1
0.202405,2,0
0.694798,2,1
0.860719,1,1
0.132103,2,0
0.614380,3,0
0.095096,1,0
0.725716,1,1
0.084493,1,0
0.935940,1,1
0.137408,2,0
0.958880,1,1
0.800884,3,1
0.593682,2,1
0.782624,1,1
0.795115,2,1
0.946027,1,1
0.253383,3,0
0.590076,3,0
0.095049,2,0
0.616166,1,1
0.171291,1,1
0.564951,2,1
0.572431,3,1
0.465985,3,0
0.522632,3,1
0.763923,1,1
0.799245,3,1
0.492153,3,0
0.599593,2,1
0.931236,1,1
0.119734,3,0
0.117104,3,0
0.087709,1,0
0.657863,2,1
0.418608,2,0
0.774321,2,1
0.671231,2,1
0.333638,2,0
0.898367,1,1
0.762532,2,1
0.270535,1,0
0.364192,2,1
0.314440,2,1
0.157612,1,1
0.147783,3,0
0.936127,1,1
0.437904,3,0
0.383320,1,1
0.729686,2,1
0.552993,3,0
0.936140,1,1
0.780301,3,1
0.479370,3,0
0.376359,2,1
0.986632,3,1
0.717760,2,1
0.951195,2,1
0.118479,2,0
0.850534,2,1
0.637074,1,1
0.121922,1,0
0.588258,3,0
0.686096,1,1
0.012303,3,0
0.454318,1,1
0.825400,3,1
0.295359,2,0
0.458548,1,1
0.442314,1,1
0.301927,1,0
0.918442,2,1
0.781294,2,1
0.110588,2,0
0.997035,1,1
0.879200,3,1
0.283908,2,0
0.836897,2,1
0.106420,2,0
0.999105,2,1
0.665685,2,1
0.650125,2,1
0.090441,3,0
0.897033,2,1
0.029000,1,0
0.240828,1,1
0.143022,1,0
0.776768,2,1
0.198204,2,0
0.910638,3,1
0.656269,3,1
0.036163,2,0
0.005430,1,0
0.051658,1,0
0.605925,2,1
0.801482,1,1
0.238553,3,0
0.849409,1,1
0.057232,1,0
0.800964,2,1
0.927795,3,1
0.772108,1,1
0.698121,3,1
0.837980,3,1
0.040151,2,0
0.201782,2,0
0.124924,1,1
0.504531,1,0
0.745188,3,1
0.630012,2,1
0.851131,3,1
0.155213,1,0
0.734621,2,1
0.193041,3,0
0.270759,2,0
0.709905,3,1
0.980205,3,1
0.611544,1,1
0.054500,3,0
0.616309,3,0
0.042351,1,0
0.884146,3,1
0.709578,2,1
0.173128,1,1
0.091721,2,0
0.183533,1,0
0.980027,3,1
0.458561,1,1
0.784081,1,1
0.636408,3,1
0.572413,1,1
0.145130,3,0
0.946024,3,1
0.301343,2,0
0.578017,3,0
0.699776,2,1
0.649233,1,1
0.940594,1,1
0.148439,1,1
0.508353,3,0
0.404034,2,0
0.474169,3,0
0.119218,2,0
0.134095,1,0
0.278076,3,0
0.304705,3,1
0.427903,2,1
0.610988,2,1
0.634629,3,0
0.411811,3,0
0.408783,1,1
0.217629,3,0
0.588306,1,1
0.317041,1,1
0.036060,3,0
0.418400,3,0
0.474133,3,0
0.225593,2,0
0.572458,1,1
0.565772,2,1
0.702002,2,1
0.647948,3,1
0.652433,1,1
0.316214,3,0
0.787432,2,1
0.549144,2,0
0.431418,3,1
0.626012,3,0
0.360657,3,0
0.512739,2,1
0.736706,3,1
0.886403,1,1
0.921057,2,1
0.503633,1,1
0.520275,3,0
0.799870,1,1
0.314451,3,0
0.837382,3,1
0.494142,2,1
0.115857,2,0
0.072059,2,0
0.841993,1,1
0.055568,1,0
0.280611,1,0
0.334130,3,0
0.172994,1,1
0.313893,1,1
0.742693,2,1
0.014683,2,0
0.827173,3,1
0.856548,1,1
0.372262,3,0
0.153613,3,0
0.600840,1,1
0.119673,1,1
0.364919,1,1
0.958429,2,1
0.995464,1,1
0.772105,3,1
0.310962,1,1
0.687665,2,1
0.705406,3,1
0.387842,1,1
0.640889,3,0
0.010728,3,0
0.209058,3,0
0.525088,1,1
0.163751,1,0
0.165907,2,0
0.836304,3,0
0.989133,3,1
0.555969,2,1
0.839070,3,1
0.990322,2,1
0.141596,3,0
0.448246,1,1
0.392573,3,0
0.080049,1,0
0.755330,3,1
0.433779,1,1
0.469327,2,1
0.150673,1,0
0.180927,1,1
0.907104,1,1
0.044649,2,0
0.232852,1,1
0.292059,1,1
0.490198,2,1
0.586445,3,1
0.493290,1,1
0.084115,2,0
0.243667,3,0
0.843588,1,1
0.637589,3,1
0.649149,3,1
0.670203,3,1
0.762903,1,1
0.058108,2,0
0.366608,2,0
0.539527,2,1
0.338456,2,0
0.844479,3,1
0.482573,3,1
0.768628,1,1
0.852016,1,1
0.504791,1,1
0.909552,1,1
0.587124,1,1
0.850274,3,1
0.340591,1,1
0.498817,3,1
0.531411,1,1
0.104980,1,1
0.398553,2,0
0.917338,2,1
0.630832,3,1
0.177507,2,0
0.338856,2,0
0.191603,2,0
0.024823,1,0
0.927460,3,1
0.448207,1,1
0.307535,2,0
0.598477,2,1
0.007314,3,0
0.278022,2,0
0.703033,1,1
0.633770,3,1
0.981806,3,1
0.620358,1,1
0.477506,2,1
0.761433,2,1
0.903328,1,1
0.720696,2,1
0.963211,3,1
0.782005,1,1
0.866801,2,1
0.114104,2,0
0.732414,2,1
0.440089,2,0
0.553104,2,1
0.654102,2,1
0.969815,2,1
0.984578,2,1
0.288228,3,0
0.733753,2,1
0.749984,1,1
0.346493,1,1
0.123870,1,0
0.040947,2,0
0.777343,2,1
0.489700,3,1
0.985540,1,1
0.464973,3,1
0.977917,2,1
0.411576,1,1
0.793682,2,1
0.084819,3,0
0.555462,3,0
0.802060,2,1
0.924702,3,1
0.822583,1,1
0.036971,1,0
0.372702,2,0
0.048698,3,0
0.109282,3,0
0.675306,2,1
0.713258,2,1
0.773721,3,1
0.865457,2,1
0.739431,2,1
0.800872,3,1
0.048964,3,0
0.234535,1,1
0.621898,1,1
0.858125,3,1
0.004500,2,0
0.514629,2,1
0.677287,3,1
0.029607,1,0
0.401356,3,0
0.895635,1,1
0.671613,1,1
0.237658,3,0
0.852781,3,1
0.348031,1,1
0.853345,2,1
0.298944,3,0
0.590320,2,1
0.396940,3,1
0.274825,3,0
0.886558,3,1
0.187594,1,0
0.084812,2,0
0.341927,3,0
0.717639,2,1
0.807432,1,1
0.998743,1,1
0.296362,3,0
0.407942,2,1
0.136821,3,0
0.574872,3,0
0.997580,3,1
0.700881,3,1
0.595213,2,0
0.392369,2,1
0.915299,2,1
0.496917,2,1
0.134367,2,0
0.365378,2,1
0.067167,3,0
0.201979,1,1
0.017669,3,0
0.453280,1,0
0.634540,3,1
0.343292,2,0
0.420382,2,1
0.959209,2,1
0.751963,3,0
0.540857,3,0
0.284541,3,0
0.896997,1,1
0.235097,2,0
0.325343,2,0
0.909065,2,1
0.529542,1,1
0.742318,1,1
0.590745,2,1
0.653439,3,1
0.299383,2,0
0.241372,3,0
0.322492,1,0
0.155442,2,0
0.874314,1,1
0.283247,1,0
0.561489,3,0
0.791974,2,1
0.783824,1,1
0.438386,2,0
0.476257,1,1
0.994702,2,1
0.674597,2,1
0.814638,2,1
0.902554,2,1
0.787590,3,1
0.185179,1,1
0.562171,1,1
0.101894,2,0
0.652922,1,1
0.955349,1,1
0.512732,1,1
0.432972,1,1
0.035843,2,0
0.959775,2,1
0.103003,3,0
0.041079,3,0
0.246067,2,0
0.065530,3,0
0.455118,1,1
0.516088,2,0
0.312570,2,0
0.050960,3,0
0.111600,3,0
0.384504,3,0
0.060528,3,0
0.698190,2,1
0.207021,2,1
0.302072,1,1
0.394126,2,0
0.416610,1,1
0.001661,2,0
0.112070,2,0
0.862765,3,1
0.001233,3,0
0.508167,2,1
0.489502,3,0
0.333094,1,1
0.431327,1,1
0.780581,3,1
0.841204,1,1
0.260349,2,0
0.322490,1,1
0.242483,1,0
0.479863,1,1
0.683258,1,1
0.228253,2,1
0.330736,1,1
0.930385,1,1
0.048569,3,0
0.460770,2,1
0.711558,1,1
0.150454,3,0
0.047374,1,1
0.138205,1,0
0.918823,3,1
0.009260,1,0
0.188322,3,0
0.031284,3,0
0.110629,1,0
0.620149,3,1
0.241639,2,0
0.569212,2,1
0.590195,2,0
0.849435,1,1
0.004741,3,0
0.853369,3,1
0.619119,3,1
0.162743,3,0
0.772937,3,1
0.855492,1,1
0.254263,1,1
0.918794,1,1
0.454457,2,1
0.603424,1,1
0.984650,3,1
0.361536,3,0
0.813159,1,1
0.318399,3,0
0.799214,2,1
0.600734,1,1
0.216356,2,0
0.414026,1,1
0.317636,1,0
0.078108,1,0
0.029835,2,0
0.346479,3,0
0.019034,2,1
0.165488,2,0
0.725183,3,1
0.708091,2,1
0.738580,3,1
0.317153,3,0
0.890019,2,1
0.593831,2,1
0.126026,3,0
0.143719,2,0
0.693095,2,1
0.172944,3,0
0.507293,3,1
0.991774,2,1
0.004008,1,0
0.016580,1,0
0.993085,1,1
0.584639,1,1
0.126910,2,0
0.897302,2,1
0.880380,2,1
0.536200,3,0
0.621792,1,1
0.273187,2,1
0.050520,3,0
0.594568,1,1
0.294755,1,1
0.663621,2,1
0.836245,3,1
0.018161,1,1
0.595714,1,1
0.231281,3,0
0.873888,1,1
0.253665,2,0
0.610770,1,1
0.553541,1,1
0.396167,1,0
0.677621,1,1
0.725770,2,1
0.566938,1,1
0.758422,2,1
0.983417,1,1
0.419272,1,1
0.514583,1,1
0.012470,3,0
0.796029,2,1
0.520230,3,0
0.407961,3,0
0.094072,2,0
0.889656,2,1
0.395007,2,1
0.682582,2,1
0.149374,1,0
0.961550,2,1
0.178442,1,1
0.199542,3,0
0.858983,1,1
0.912583,1,1
0.212147,2,1
0.469801,1,1
0.733495,2,1
0.878366,2,1
0.379053,1,1
0.517019,1,1
0.741716,2,1
0.731136,3,0
0.782960,3,1
0.569934,2,1
0.104615,2,0
0.903973,3,1
0.865573,3,1
0.798097,2,1
0.099862,1,0
0.204397,3,0
0.743600,3,1
0.023140,2,0
0.979225,2,1
0.377145,1,1
0.719313,3,1
0.887571,2,1
0.394630,1,1
0.319132,1,1
0.608741,1,1
0.580989,1,1
0.409140,3,0
0.601775,3,0
0.935381,1,1
0.467640,2,1
0.196742,2,0
0.377206,2,1
0.394107,2,0
0.131109,2,0
0.162872,3,0
0.684562,2,1
0.339478,2,1
0.954898,3,1
0.243597,3,0
0.098925,3,0
0.753505,2,1
0.881036,3,1
0.278113,1,1
0.202088,3,0
0.185766,1,1
0.522012,3,0
0.468417,1,1
0.259440,3,0
0.045173,2,0
0.481491,3,1
0.959332,2,1
0.652519,1,1
0.495507,1,1
0.110692,2,0
0.252436,1,1
0.294774,1,1
0.764804,3,1
0.876711,3,1
0.901642,3,1
0.984569,3,1
0.982367,3,1
0.952999,3,1
0.071822,2,0
0.137794,3,0
0.304467,2,0
0.552898,3,1
0.096978,1,0
0.845797,2,1
0.616756,1,0
0.542364,3,0
0.165311,3,0
0.253255,3,0
0.160312,3,0
0.851933,1,1
0.584228,2,1
0.735129,1,1
0.296033,3,0
0.371253,3,0
0.404855,1,1
0.760015,2,0
0.772353,2,1
0.206814,2,0
0.941539,2,1
0.120655,2,0
0.896122,2,1
0.100396,1,0
0.264540,1,1
0.846479,1,1
0.179492,2,0
0.413568,1,1
0.449859,1,0
0.245259,2,1
0.710245,3,1
0.851335,3,1
0.874575,3,1
0.339322,2,1
0.530850,1,1
0.248406,1,1
0.244797,1,0
0.161254,1,1
0.940019,3,1
0.887989,1,1
0.777359,3,1
0.517662,3,1
0.490608,1,0
0.529746,2,1
0.536568,2,1
0.434563,3,0
0.131755,3,0
0.125664,2,0
0.952250,3,1
0.482031,3,0
0.953206,1,1
0.163577,2,0
0.554417,1,1
0.207717,2,0
0.253185,1,0
0.030055,2,0
0.118953,1,0
0.916848,2,1
0.321533,2,0
0.608129,2,1
0.465014,1,1
0.400451,3,0
0.531886,3,0
0.187239,1,0
0.988604,1,1
0.818308,1,1
0.741615,2,1
0.468759,2,1
0.152877,3,0
0.920666,2,1
0.341387,2,0
0.050107,3,0
0.342404,3,0
0.794457,1,1
0.622709,2,1
0.750839,1,1
0.793635,3,1
0.211955,2,0
0.923783,3,1
0.437990,3,0
0.639014,1,1
0.002309,1,0
0.993368,2,1
0.280896,2,1
0.062063,1,0
0.458262,3,0
0.129030,1,0
0.152327,1,0
0.632283,2,1
0.392927,2,0
0.921852,3,1
0.319156,1,1
0.726180,1,1
0.461099,2,1
0.659951,1,1
0.599695,2,0
0.472784,3,0
0.950061,3,1
0.342714,3,0
0.177236,3,0
0.678094,1,1
0.846008,1,1
0.040254,3,0
0.449633,2,1
0.892488,2,1
0.749619,2,1
0.991808,2,1
0.531414,2,1
0.659996,3,1
0.302480,2,1
0.947536,3,1
0.366335,2,0
0.738511,2,1
0.403140,2,0
0.561819,3,0
0.719783,2,1
0.508934,1,1
0.907086,2,1
0.419301,3,0
0.647072,1,1
0.342362,2,1
0.408157,2,0
0.440050,3,0
0.125807,3,0
0.091724,3,0
0.667490,3,1
0.655518,3,1
0.662910,2,1
0.019766,2,0
0.326547,1,1
0.197810,3,0
0.778151,3,1
0.860630,1,1
0.246680,1,1
0.667849,3,1
0.129363,1,1
0.275153,2,1
0.138654,3,0
0.283521,2,0
0.674737,2,1
0.910327,2,1
0.202522,3,0
0.542079,1,1
0.701391,2,1
0.952922,2,1
0.610060,3,0
0.255107,2,0
0.625478,2,1
0.320491,1,1
0.976128,2,1
0.399676,1,1
0.685428,3,0
0.023228,2,0
0.400061,2,1
0.875108,1,1
0.610227,3,1
0.443943,2,1
0.935937,2,1
0.853984,3,1
0.322216,1,1
0.544548,3,0
0.489824,2,0
0.632203,2,0
0.334111,2,0
0.244205,2,0
0.912672,2,1
0.923874,2,1
0.843323,2,1
0.978204,2,1
0.744992,1,1
0.764667,2,1
0.762590,2,1
0.480608,2,1
0.456452,1,1
0.240226,3,0
0.644819,2,1
0.289320,2,1
0.257808,1,0
0.585961,2,1
0.409982,3,0
0.218857,2,1
0.816056,2,1
0.860570,1,1
0.167700,3,0
0.007507,2,0
0.336130,2,0
0.797511,2,1
0.839174,3,1
0.138329,2,0
0.774336,3,1
0.115704,2,0
0.390063,3,0
0.998610,2,1
0.192591,2,0
0.153964,3,0
0.422800,2,1
0.619669,3,0
0.932901,2,1
0.980821,2,1
0.069641,3,0
0.137998,3,0
0.790738,1,1
0.270632,3,0
0.884849,3,1
0.663453,3,1
0.111845,1,1
0.832529,2,1
0.176356,3,0
0.423495,3,0
0.552185,2,1
0.500766,3,1
0.686163,3,1
0.652687,3,0
0.992042,3,1
0.999422,2,1
0.516459,1,1
0.095199,3,0
0.727843,1,1
0.976664,1,1
0.318326,3,1
0.461209,2,1
0.424777,1,1
0.051419,2,0
0.672264,2,1
0.353338,3,0
0.787464,1,1
0.832120,2,1
0.821231,3,1
0.416666,2,0
0.321546,1,1
0.748821,2,1
0.801389,3,1
0.491257,1,1
0.893031,2,1
0.143909,2,0
0.879069,3,1
0.096095,3,0
0.153526,1,1
0.533840,3,0
0.067518,1,0
0.052807,2,0
0.000519,1,0
0.436317,3,0
0.774624,1,1
0.034838,1,1
0.652258,2,1
0.823127,2,1
0.168001,1,0
0.146864,1,0
0.860801,1,1
0.823125,3,1
0.538942,3,0
0.819200,3,1
0.092756,3,0
0.394482,1,0
0.737798,3,1
0.257452,3,0
0.752329,2,1
0.504179,3,0
0.750266,1,1
0.464680,1,1
0.367904,3,0
0.219189,3,0
0.208379,1,0
0.751491,3,0
0.118910,1,0
0.085982,3,0
0.176291,2,0
0.175347,2,0
0.823108,2,1
0.398507,3,0
0.990388,1,1
0.137211,2,0
0.653540,1,1
0.448730,3,1
0.392918,3,0
0.875084,1,1
0.975596,3,1
0.872859,2,1
0.192301,2,0
0.220798,3,0
0.656074,1,1
0.289084,1,0
0.734725,1,1
0.566421,2,0
0.550909,3,0
0.828547,1,1
0.710533,3,1
0.026578,3,0
0.049459,3,0
0.601558,3,1
0.486192,3,0
0.260185,3,0
0.418656,2,0
0.757910,1,1
0.826611,3,1
0.561223,1,1
0.385369,1,1
0.270697,1,0
0.521918,2,1
0.314750,2,0
0.564095,1,1
0.676652,3,1
0.066079,1,0
0.001067,3,0
0.212277,3,0
0.894511,3,1
0.646291,1,1
0.171960,1,1
0.890264,1,1
0.469956,3,0
0.476092,2,1
0.935542,3,1
0.059487,1,0
0.215178,1,1
0.585771,2,1
0.195487,1,1
0.679527,3,0
0.214092,3,0
0.099157,1,0
0.206985,3,0
0.422734,3,0
0.176138,3,0
0.134692,2,0
0.860282,2,1
0.320397,1,1
0.360759,1,1
0.055270,2,0
0.357370,3,0
0.264807,3,0
0.610485,2,1
0.205390,1,0
0.888365,3,1
0.929667,2,1
0.099831,1,0
0.107403,3,0
0.115326,2,0
0.619569,3,1
0.121969,1,1
0.852382,3,1
0.754272,2,1
0.819809,3,1
0.526061,1,1
0.996677,3,1
0.044175,3,0
0.401265,3,0
0.323937,2,0
0.948645,2,1
0.576861,2,0
0.806191,2,1
0.170341,1,0
0.978634,1,1
0.498640,2,1
0.493672,2,0
0.970885,3,1
0.380732,1,1
0.397525,3,0
0.584753,3,1
0.128053,2,0
0.321086,2,1
0.193208,1,1
0.103283,2,0
0.866145,2,1
0.589331,1,1
0.358673,2,0
0.408669,3,0
0.431519,2,0
0.633149,1,1
0.926769,1,1
0.932780,1,1
0.391492,1,1
0.329262,2,0
0.451047,2,0
0.567934,2,1
0.461818,3,0
0.658753,2,1
0.554399,3,0
0.320716,2,1
0.345731,2,0
0.378593,3,0
0.094640,2,1
0.166063,3,0
0.723114,1,1
0.389097,2,1
0.214539,3,0
0.562672,3,0
0.755540,2,1
0.257422,2,0
0.826790,2,1
0.927505,2,1
0.597395,2,1
0.668948,1,1
0.052576,2,0
0.945520,3,1
0.392485,2,1
0.923900,2,1
0.578978,2,1
0.004619,2,0
0.038542,2,0
0.680419,1,1
0.562668,2,1
0.026532,1,0
0.743460,1,1
0.852145,1,1
0.496417,3,0
0.465757,3,1
0.005473,2,0
0.786650,3,1
0.330716,1,1
0.878764,2,1
0.373061,2,1
0.565078,3,0
0.270342,1,1
0.160588,3,0
0.774908,1,1
0.496590,3,0
0.536488,2,1
0.965416,3,1
0.963580,1,1
0.855642,2,1
0.187609,3,0
0.594273,3,1
0.878147,3,1
0.374464,3,0
0.101106,1,1
0.810963,2,1
0.481764,1,1
0.564393,3,0
0.982144,1,1
0.607211,1,1
0.424979,3,0
0.369984,1,1
0.417619,1,1
0.118399,3,0
0.794751,3,1
0.837717,1,1
0.284397,2,1
0.303797,1,1
0.874334,1,1
0.023970,3,0
0.520457,2,1
0.463676,2,1
0.690127,2,1
0.163392,1,0
0.668331,3,1
0.376734,3,0
0.618715,1,1
0.040095,3,0
0.461727,3,0
0.522251,2,0
0.214326,2,0
0.139624,1,0
0.188474,3,0
0.344141,1,1
0.096810,3,0
0.947320,1,1
0.404994,2,1
0.808970,1,1
0.974417,2,1
0.080735,3,0
0.651669,1,1
0.871409,1,1
0.634234,1,1
0.429026,1,1
0.431076,1,1
0.035899,2,0
0.534601,2,1
0.993543,3,1
0.958708,3,1
0.040399,3,0
0.705797,2,1
0.301765,3,0
0.902989,2,1
0.045115,1,0
0.935874,3,1
0.837476,2,1
0.117504,3,0
0.059824,1,1
0.834708,3,1
0.155758,3,0
0.534898,2,1
0.915745,2,1
0.567448,2,1
0.397233,3,0
0.445016,3,0
0.063117,1,1
0.968752,3,1
0.310654,3,0
0.189363,3,0
0.286047,1,0
0.964373,3,1
0.094286,3,0
0.867303,3,1
0.707844,3,1
0.830019,3,1
0.975898,3,1
0.842155,1,1
0.943382,1,1
0.126935,2,0
0.795789,2,1
0.545676,1,1
0.543496,2,1
0.898922,3,1
0.971804,2,1
0.704838,2,1
0.482938,1,1
0.456404,1,1
0.386341,3,0
0.361599,2,0
0.391507,1,0
0.089753,3,0
0.077436,3,0
0.779870,2,1
0.446073,3,0
0.930684,2,1
0.612221,2,1
0.035176,1,0
0.157523,1,0
0.205820,1,1
0.975736,2,1
0.218704,3,0
0.515756,1,1
0.936177,1,1
0.977193,2,1
0.236360,3,0
0.049118,3,0
0.153602,3,0
0.063328,2,0
0.195124,2,0
0.568570,1,1
0.912449,2,1
0.537219,2,1
0.625990,3,0
0.201867,1,1
0.800584,2,1
0.617789,1,1
0.864137,1,1
0.948843,3,1
0.347901,1,0
0.090579,1,1
0.225929,3,0
0.437842,3,0
0.945694,1,1
0.378310,2,0
0.770773,3,0
0.540477,1,1
0.182809,3,0
0.320734,3,0
0.653192,3,1
0.672853,2,1
0.434760,1,1
0.228646,2,0
0.721907,3,1
0.168873,2,1
0.936670,3,0
0.187904,2,0
0.107312,2,0
0.497648,3,0
0.519550,1,1
0.508193,3,0
0.436667,2,1
0.994815,1,1
0.486281,2,1
0.477947,1,1
0.421766,1,1
0.066826,2,0
0.592957,2,0
0.227968,3,0
0.637609,2,1
0.050833,3,0
0.981387,1,1
0.469005,3,0
0.896755,3,1
0.475561,1,1
0.060331,2,0
0.822214,2,1
0.648184,1,1
0.781757,2,1
0.428170,2,1
0.637937,2,1
0.856229,2,1
0.631065,3,0
0.347674,2,0
0.662530,1,1
0.671854,1,1
0.960587,3,1
0.370912,2,1
0.425082,1,1
0.812123,1,1
0.505762,3,0
0.736573,3,1
0.459709,3,1
0.215495,1,1
0.745204,1,1
0.131155,1,1
0.198584,3,0
0.626825,3,1
0.747270,1,1
0.894688,3,1
0.272586,2,1
0.110724,3,0
0.956047,3,1
0.154423,3,0
0.197667,2,1
0.291329,2,0
0.529391,1,1
0.882826,2,1
0.760546,3,1
0.708158,3,1
0.175181,1,1
0.357683,3,0
0.478405,3,0
0.147426,1,1
0.273430,2,0
0.308333,3,0
0.127276,3,0
0.550240,3,0
0.705028,1,1
0.069932,2,0
0.481123,2,1
0.782211,2,1
0.747990,1,1
0.815073,1,1
0.448241,1,1
0.820557,2,1
0.240753,1,1
0.360811,1,0
0.176356,2,1
0.467485,2,0
0.392060,2,0
0.240927,1,1
0.751781,3,1
0.313847,3,0
0.272804,1,1
0.130890,1,1
0.438822,3,0
