mastery,trend,attempts_count,at_risk
0.590915,0.032248,43,0
0.022804,0.130035,26,1
0.958559,0.293699,25,0
0.482303,-0.014302,32,0
0.782735,-0.032254,17,0
0.082730,-0.086064,21,1
0.486658,0.093175,21,0
0.490707,0.166313,9,0
0.937826,0.185163,42,0
0.571728,-0.258560,41,1
0.473489,-0.193933,26,1
0.266976,0.066515,17,1
0.331569,-0.055846,22,0
0.520672,0.113162,26,0
0.438911,0.114726,11,0
0.021612,0.060929,36,1
0.826292,-0.276172,10,1
0.896161,0.053343,31,0
0.140249,0.134303,12,0
0.554036,-0.143677,6,1
0.108576,-0.110207,6,1
0.672240,0.250136,30,0
0.281234,-0.148690,21,1
0.659423,0.202166,26,0
0.726995,-0.230786,45,0
0.768647,0.252279,31,0
0.107741,0.276958,38,0
0.916012,0.000488,45,0
0.230214,-0.179414,24,1
0.037413,-0.034869,7,1
0.554852,0.133370,38,0
0.370922,-0.061222,32,1
0.829790,-0.225447,46,0
0.808251,0.148854,8,0
0.317139,-0.136377,15,1
0.952899,-0.156351,34,0
0.290918,-0.123477,27,1
0.515057,0.079206,23,0
0.255965,-0.055410,45,1
0.936044,0.165800,15,0
0.164608,0.014856,43,1
0.044911,-0.212839,20,1
0.435097,0.119138,13,0
0.992376,0.118911,12,0
0.891677,0.257398,23,0
0.748608,0.049526,21,0
0.890792,0.293478,7,0
0.893447,-0.183653,34,0
0.518858,-0.082221,33,0
0.315929,0.092024,37,0
0.772012,-0.254126,35,1
0.661661,-0.139960,23,1
0.373658,0.027931,16,0
0.094467,0.285868,46,0
0.746790,0.281795,5,0
0.262461,-0.074006,19,1
0.936813,-0.145592,32,0
0.240971,0.119267,3,1
0.122758,0.247629,8,0
0.831113,-0.056832,15,0
0.153284,0.099221,41,1
0.179268,-0.259830,9,1
0.599383,-0.280294,26,1
0.874562,-0.242092,50,0
0.196435,-0.018657,46,1
0.310324,-0.147967,34,1
0.777405,0.052768,16,0
0.971826,0.003228,6,0
0.500741,0.226960,29,0
0.143898,0.069469,21,1
0.013936,0.053009,33,1
0.229656,-0.067853,3,1
0.131822,-0.051650,31,1
0.677659,-0.129213,21,1
0.121833,-0.086207,8,1
0.506330,0.206499,30,0
0.694262,-0.035154,32,0
0.581117,-0.175413,6,1
0.199776,-0.283782,50,1
0.804125,-0.257545,40,1
0.715407,0.065241,31,0
0.738984,-0.183269,33,0
0.131058,0.176583,5,0
0.123754,-0.098381,19,1
0.927563,-0.226523,47,1
0.397578,-0.052740,28,1
0.300949,-0.121249,4,1
0.488584,0.200094,44,0
0.662864,0.273540,6,0
0.955623,-0.297113,24,1
0.286446,0.298492,48,0
0.924808,0.207219,46,0
0.024859,-0.139471,9,1
0.555198,-0.293818,42,1
0.633975,-0.126929,22,1
0.105897,0.188771,9,0
0.140340,0.290818,19,0
0.419114,0.006365,33,1
0.966232,0.019590,35,0
0.596043,-0.117178,26,1
0.933023,0.165268,39,0
0.804361,0.254347,42,0
0.467382,-0.153439,6,1
0.784763,0.232728,23,0
0.017837,-0.042750,10,1
0.109144,0.177231,16,1
0.829429,0.288388,46,0
0.796817,-0.104594,7,1
0.232641,0.230323,11,0
0.530770,0.042491,19,0
0.606016,0.056858,38,0
0.867739,0.281933,25,0
0.603107,0.212489,33,0
0.412572,0.086435,22,1
0.374184,0.243659,21,0
0.425882,-0.011435,24,0
0.651931,-0.220600,11,1
0.867491,-0.255160,9,0
0.453897,-0.277437,23,1
0.247840,0.232365,15,0
0.236662,0.078120,21,1
0.746014,-0.208427,4,0
0.816569,-0.101748,33,0
0.105278,-0.132605,6,1
0.066559,-0.007243,29,1
0.594434,0.110009,22,0
0.146173,0.153153,28,1
0.824664,-0.193165,25,0
0.310335,-0.212451,11,1
0.143872,-0.121954,3,1
0.920970,-0.159955,16,0
0.165532,0.267924,33,0
0.284720,0.170501,27,0
0.153613,0.213809,45,1
0.115490,-0.297169,6,1
0.021148,0.257885,33,1
0.055395,-0.031503,43,1
0.174641,-0.010734,10,1
0.053382,-0.131484,33,1
0.591144,-0.163237,36,1
0.680715,-0.182494,38,0
0.393630,-0.272824,43,1
0.317991,-0.222364,49,1
0.504526,-0.276885,18,1
0.875005,-0.084487,5,0
0.851132,-0.188300,42,0
0.043475,0.151221,38,1
0.181498,0.202884,16,0
0.236745,0.121412,33,0
0.249388,0.063123,4,0
0.571233,-0.055822,34,0
0.416262,0.169289,49,0
0.049254,-0.147414,37,1
0.373614,-0.292870,14,1
0.523753,-0.261503,11,1
0.101672,-0.137662,50,1
0.833459,-0.242702,23,1
0.051962,-0.001380,39,1
0.924842,0.127812,49,0
0.099113,-0.022576,15,1
0.843575,-0.187846,40,0
0.902653,-0.148892,33,0
0.979571,-0.043061,32,0
0.802026,-0.054758,21,0
0.779478,0.284498,49,0
0.642483,-0.154559,7,1
0.778996,0.031384,47,0
0.134552,0.071186,32,1
0.536068,-0.295426,48,1
0.514223,0.093890,13,0
0.857572,0.062099,39,0
0.462799,-0.042601,45,1
0.385089,-0.063002,40,0
0.639563,0.026189,34,0
0.266463,-0.187528,4,1
0.139768,0.060590,23,1
0.477877,0.243096,7,0
0.416889,0.246688,38,0
0.232570,-0.281726,29,1
0.367512,0.150138,23,0
0.366392,-0.034369,43,1
0.327496,-0.131092,7,1
0.379464,0.078660,10,1
0.685743,0.190583,9,0
0.296876,0.090158,39,0
0.948858,0.097623,46,0
0.916348,0.167040,18,0
0.480910,-0.148191,17,0
0.328361,0.264558,17,0
0.535435,0.060053,43,0
0.848560,-0.181964,10,1
0.652587,-0.258762,43,1
0.804392,0.149562,35,0
0.532722,-0.159566,15,0
0.632918,0.272482,13,0
0.288156,0.128222,37,0
0.734893,0.268950,9,0
0.202405,-0.039506,19,1
0.694798,0.014946,9,0
0.860719,-0.181473,42,0
0.132103,-0.093730,11,1
0.614380,0.120733,17,0
0.095096,0.131631,39,1
0.725716,0.013217,43,0
0.084493,-0.084482,22,1
0.935940,-0.062626,14,0
0.137408,-0.272115,19,1
0.958880,-0.121235,7,0
0.800884,-0.095207,33,0
0.593682,0.061410,29,0
0.782624,0.170008,10,0
0.795115,-0.292890,22,0
0.946027,0.035031,40,0
0.253383,-0.265088,8,1
0.590076,-0.053928,31,0
0.095049,0.090916,42,1
0.616166,-0.285387,48,1
0.171291,-0.191730,35,1
0.564951,0.137110,50,0
0.572431,-0.111473,8,0
0.465985,-0.194483,16,1
0.522632,-0.030451,34,1
0.763923,0.087560,4,0
0.799245,-0.196233,20,0
0.492153,-0.076641,40,1
0.599593,-0.269962,50,1
0.931236,-0.134348,6,0
0.119734,-0.020956,40,1
0.117104,0.270372,5,0
0.087709,0.102907,14,1
0.657863,0.041193,18,0
0.418608,0.136962,30,0
0.774321,0.208312,36,0
0.671231,0.005466,16,0
0.333638,-0.285656,44,1
0.898367,-0.237846,4,1
0.762532,0.092706,40,0
0.270535,0.126680,48,0
0.364192,0.239008,37,0
0.314440,-0.207928,11,1
0.157612,-0.203331,11,1
0.147783,-0.262237,33,1
0.936127,-0.246795,31,0
0.437904,0.067925,35,0
0.383320,-0.106160,12,1
0.729686,-0.089300,17,0
0.552993,0.210280,21,0
0.936140,-0.255769,16,1
0.780301,-0.294450,6,0
0.479370,0.150694,41,0
0.376359,0.225027,33,0
0.986632,0.021349,49,0
0.717760,-0.251665,22,1
0.951195,0.146686,44,0
0.118479,0.277093,19,0
0.850534,-0.269032,28,1
0.637074,-0.100549,13,0
0.121922,-0.116087,10,1
0.588258,0.156574,22,0
0.686096,0.165682,30,0
0.012303,-0.241646,30,1
0.454318,-0.211273,11,1
0.825400,-0.194949,22,0
0.295359,0.191106,4,0
0.458548,-0.052208,24,1
0.442314,-0.093655,45,1
0.301927,0.155296,9,0
0.918442,0.043146,14,0
0.781294,-0.094307,7,1
0.110588,0.109345,46,0
0.997035,-0.078406,47,0
0.879200,-0.269506,46,1
0.283908,-0.269548,13,1
0.836897,-0.070280,29,0
0.106420,0.207682,23,0
0.999105,-0.042023,24,0
0.665685,-0.286744,15,1
0.650125,0.050456,45,0
0.090441,-0.167741,5,1
0.897033,0.133461,4,0
0.029000,0.077005,15,1
0.240828,-0.133688,32,1
0.143022,-0.237691,39,1
0.776768,-0.213793,18,0
0.198204,-0.193196,22,1
0.910638,-0.140447,39,0
0.656269,-0.082913,5,0
0.036163,0.280898,7,1
0.005430,-0.022036,30,1
0.051658,0.096396,33,0
0.605925,0.015507,17,0
0.801482,0.201596,34,0
0.238553,-0.130526,34,1
0.849409,-0.199580,37,0
0.057232,0.037055,3,1
0.800964,-0.209673,32,0
0.927795,0.115340,35,0
0.772108,-0.074752,10,0
0.698121,0.259477,36,0
0.837980,0.085239,21,0
0.040151,0.136341,38,1
0.201782,-0.061953,36,1
0.124924,-0.193851,27,1
0.504531,0.069319,40,0
0.745188,-0.244279,45,0
0.630012,-0.230560,22,1
0.851131,0.242335,9,0
0.155213,-0.050664,33,1
0.734621,0.083955,21,0
0.193041,0.045342,40,0
0.270759,-0.008617,20,1
0.709905,0.168875,3,0
0.980205,0.205681,30,0
0.611544,0.297913,10,0
0.054500,0.260999,14,0
0.616309,0.166665,3,0
0.042351,0.159655,37,0
0.884146,0.150521,43,0
0.709578,-0.131130,26,0
0.173128,0.015261,27,1
0.091721,-0.124723,36,1
0.183533,0.247128,14,1
0.980027,0.297906,22,0
0.458561,0.208624,41,0
0.784081,0.248517,3,0
0.636408,0.191725,29,0
0.572413,-0.009462,6,0
0.145130,0.142285,19,0
0.946024,0.260810,13,0
0.301343,-0.264951,24,1
0.578017,-0.292860,10,1
0.699776,0.129904,19,0
0.649233,0.083167,20,0
0.940594,0.029913,48,0
0.148439,-0.021257,4,1
0.508353,-0.104350,22,1
0.404034,-0.159478,25,1
0.474169,-0.128083,30,0
0.119218,0.080453,34,1
0.134095,0.114356,17,1
0.278076,-0.018061,25,1
0.304705,-0.276807,25,1
0.427903,-0.128799,27,1
0.610988,-0.208695,40,1
0.634629,0.208538,31,0
0.411811,-0.064369,35,1
0.408783,0.152279,17,1
0.217629,0.049788,26,1
0.588306,0.285927,5,0
0.317041,-0.070139,6,0
0.036060,-0.005916,30,1
0.418400,-0.084203,35,1
0.474133,0.072043,28,0
0.225593,-0.009783,42,1
0.572458,0.190369,43,0
0.565772,-0.223723,39,1
0.702002,-0.269746,47,0
0.647948,-0.008720,43,0
0.652433,0.006618,46,1
0.316214,0.194247,36,0
0.787432,-0.158904,11,1
0.549144,-0.179065,31,1
0.431418,0.001271,48,0
0.626012,0.297858,36,0
0.360657,-0.217909,21,1
0.512739,-0.027443,48,0
0.736706,0.231994,30,0
0.886403,-0.195490,50,0
0.921057,-0.049597,33,0
0.503633,-0.134914,20,1
0.520275,0.018930,29,0
0.799870,0.063028,33,0
0.314451,0.130765,45,1
0.837382,0.150047,20,0
0.494142,-0.236942,9,1
0.115857,-0.099700,17,1
0.072059,-0.031385,35,1
0.841993,0.097085,29,0
0.055568,0.076160,8,0
0.280611,0.009184,21,1
0.334130,0.092615,15,0
0.172994,0.019595,6,1
0.313893,-0.086413,43,1
0.742693,-0.133087,29,0
0.014683,-0.033102,4,1
0.827173,0.278904,26,0
0.856548,0.209643,4,0
0.372262,0.059424,8,1
0.153613,-0.282397,6,1
0.600840,0.177077,46,0
0.119673,-0.110091,8,1
0.364919,-0.243367,16,1
0.958429,0.214973,23,0
0.995464,-0.041559,18,0
0.772105,0.277725,15,0
0.310962,-0.092005,22,1
0.687665,0.260775,22,0
0.705406,0.062661,11,0
0.387842,-0.094140,4,1
0.640889,0.280662,16,0
0.010728,-0.091886,4,1
0.209058,0.211852,14,0
0.525088,-0.044246,44,1
0.163751,-0.123783,38,1
0.165907,-0.097997,5,1
0.836304,-0.082442,34,0
0.989133,0.028601,8,0
0.555969,-0.096204,22,0
0.839070,-0.213906,50,1
0.990322,0.056607,28,0
0.141596,-0.247601,34,1
0.448246,0.084223,42,0
0.392573,-0.101868,18,1
0.080049,0.238496,48,0
0.755330,0.015872,21,0
0.433779,0.102018,29,0
0.469327,0.094562,4,0
0.150673,0.164171,4,1
0.180927,0.291215,40,0
0.907104,0.193571,32,0
0.044649,-0.062997,50,1
0.232852,-0.047121,15,1
0.292059,-0.080561,44,1
0.490198,0.110692,18,0
0.586445,-0.235946,11,1
0.493290,0.180472,27,0
0.084115,-0.145138,43,1
0.243667,0.192705,20,1
0.843588,-0.075057,32,0
0.637589,0.282808,11,0
0.649149,0.162015,33,0
0.670203,-0.243668,25,1
0.762903,-0.221645,33,1
0.058108,0.246272,27,0
0.366608,-0.154475,22,1
0.539527,0.012331,27,0
0.338456,-0.181878,48,1
0.844479,0.182635,22,0
0.482573,-0.139835,11,1
0.768628,0.121889,10,0
0.852016,0.083111,30,0
0.504791,0.208279,38,0
0.909552,-0.109932,4,0
0.587124,-0.296398,28,1
0.850274,-0.140641,35,0
0.340591,-0.208232,24,1
0.498817,0.004024,13,0
0.531411,-0.183711,27,0
0.104980,-0.223803,33,1
0.398553,0.204635,22,1
0.917338,0.252026,38,0
0.630832,0.127436,5,0
0.177507,0.055988,31,1
0.338856,-0.163163,27,1
0.191603,0.152281,37,0
0.024823,-0.126650,50,1
0.927460,-0.121084,8,0
0.448207,-0.078887,3,0
0.307535,0.000475,3,1
0.598477,-0.291098,50,1
0.007314,-0.293251,33,1
0.278022,0.208084,35,0
0.703033,0.218183,5,0
0.633770,0.086426,48,0
0.981806,-0.188343,5,0
0.620358,-0.119349,23,0
0.477506,0.174926,35,0
0.761433,0.287486,36,0
0.903328,0.160079,41,0
0.720696,0.187628,19,0
0.963211,-0.093857,30,0
0.782005,0.122388,10,0
0.866801,-0.273715,33,0
0.114104,0.001358,31,1
0.732414,-0.141000,35,1
0.440089,-0.103684,9,0
0.553104,0.121449,36,0
0.654102,-0.235273,6,1
0.969815,-0.286825,7,1
0.984578,-0.088459,21,0
0.288228,-0.277503,19,1
0.733753,0.077889,22,0
0.749984,0.153614,20,0
0.346493,-0.210258,20,1
0.123870,0.119018,29,1
0.040947,0.018195,49,0
0.777343,-0.224943,35,1
0.489700,0.030729,18,0
0.985540,0.215467,46,0
0.464973,-0.166816,23,0
0.977917,-0.040375,38,0
0.411576,0.178582,13,0
0.793682,0.203687,14,0
0.084819,0.177317,4,0
0.555462,0.200536,27,0
0.802060,0.290842,24,0
0.924702,0.238948,25,0
0.822583,0.006289,28,0
0.036971,0.025939,45,1
0.372702,-0.177982,49,1
0.048698,-0.090589,3,1
0.109282,-0.190796,19,1
0.675306,0.298590,11,0
0.713258,0.098391,32,0
0.773721,0.014041,48,0
0.865457,-0.253301,36,1
0.739431,0.250427,42,0
0.800872,-0.237744,9,1
0.048964,-0.299909,38,1
0.234535,0.000665,31,1
0.621898,-0.027111,18,0
0.858125,0.010352,23,0
0.004500,-0.005398,26,1
0.514629,0.102948,25,0
0.677287,0.206216,41,0
0.029607,-0.069173,3,1
0.401356,0.108363,9,1
0.895635,0.026199,38,0
0.671613,-0.030095,46,0
0.237658,-0.237611,9,1
0.852781,0.226914,9,0
0.348031,0.065963,24,0
0.853345,-0.080046,16,0
0.298944,-0.154829,34,0
0.590320,-0.153206,13,1
0.396940,-0.241902,3,1
0.274825,0.213967,21,0
0.886558,0.123327,29,0
0.187594,-0.018742,29,1
0.084812,0.222571,13,1
0.341927,0.237219,18,0
0.717639,0.138946,29,0
0.807432,0.264263,48,0
0.998743,0.013210,22,0
0.296362,0.178167,18,0
0.407942,0.212831,4,0
0.136821,-0.061031,31,1
0.574872,0.237150,16,0
0.997580,-0.102773,12,0
0.700881,-0.146956,42,1
0.595213,0.256847,31,0
0.392369,-0.217324,25,1
0.915299,-0.169181,24,0
0.496917,0.167369,31,0
0.134367,0.067864,5,1
0.365378,-0.115733,37,1
0.067167,0.105405,6,1
0.201979,0.206968,27,0
0.017669,0.016034,22,1
0.453280,-0.135902,12,1
0.634540,-0.124006,35,0
0.343292,-0.286758,44,1
0.420382,-0.211846,15,1
0.959209,0.185725,33,0
0.751963,-0.176314,35,0
0.540857,-0.289962,33,1
0.284541,0.062273,16,0
0.896997,0.174941,24,0
0.235097,0.175735,44,0
0.325343,0.249433,32,0
0.909065,-0.185065,30,0
0.529542,0.047415,20,0
0.742318,-0.133500,32,0
0.590745,0.191268,23,0
0.653439,0.014759,13,0
0.299383,0.170966,26,0
0.241372,-0.196777,48,1
0.322492,0.205468,33,0
0.155442,-0.275115,24,1
0.874314,0.149180,29,0
0.283247,0.111033,24,1
0.561489,0.254012,20,0
0.791974,-0.182687,33,0
0.783824,-0.054805,44,0
0.438386,-0.056246,40,1
0.476257,-0.072687,40,1
0.994702,-0.254661,11,0
0.674597,0.167435,39,0
0.814638,-0.224420,6,1
0.902554,0.265407,47,0
0.787590,0.145975,27,0
0.185179,-0.029432,9,1
0.562171,-0.226339,26,1
0.101894,0.004776,18,1
0.652922,-0.166518,22,1
0.955349,0.073555,31,0
0.512732,0.190324,27,0
0.432972,0.019294,31,1
0.035843,-0.158578,42,1
0.959775,-0.004898,15,0
0.103003,-0.232249,48,1
0.041079,-0.226727,19,1
0.246067,0.292362,25,0
0.065530,-0.136961,47,1
0.455118,0.234332,41,0
0.516088,0.017811,46,1
0.312570,-0.230127,16,1
0.050960,0.179237,30,1
0.111600,-0.006155,6,1
0.384504,0.014550,7,0
0.060528,0.055810,7,1
0.698190,-0.008684,5,0
0.207021,0.203808,43,0
0.302072,0.228894,23,0
0.394126,-0.287669,40,1
0.416610,-0.181441,46,1
0.001661,-0.075343,27,1
0.112070,0.275344,26,0
0.862765,0.280867,10,0
0.001233,0.229630,10,1
0.508167,-0.289241,22,1
0.489502,0.046872,16,0
0.333094,0.003645,45,1
0.431327,-0.090835,47,1
0.780581,0.195453,4,0
0.841204,-0.164262,35,0
0.260349,0.192478,28,0
0.322490,-0.146096,33,1
0.242483,0.131794,22,1
0.479863,0.133847,36,0
0.683258,-0.247147,15,1
0.228253,0.160907,50,1
0.330736,-0.180301,46,1
0.930385,-0.091907,50,0
0.048569,0.298435,47,1
0.460770,0.014650,10,0
0.711558,-0.110638,31,0
0.150454,0.272695,35,1
0.047374,-0.154680,5,1
0.138205,0.169672,34,0
0.918823,0.096308,11,0
0.009260,0.285436,28,1
0.188322,-0.213828,40,1
0.031284,-0.016027,24,1
0.110629,-0.159471,40,1
0.620149,-0.210264,11,1
0.241639,-0.164750,17,1
0.569212,-0.096805,8,1
0.590195,0.038392,39,0
0.849435,0.108975,37,0
0.004741,-0.195840,35,1
0.853369,0.248025,20,0
0.619119,-0.151235,4,1
0.162743,-0.241967,50,1
0.772937,0.170074,31,0
0.855492,0.189082,33,0
0.254263,0.124696,41,0
0.918794,0.093927,8,0
0.454457,-0.065960,40,1
0.603424,-0.084584,25,0
0.984650,-0.280893,41,0
0.361536,-0.282178,48,1
0.813159,-0.051235,23,0
0.318399,0.225315,49,1
0.799214,0.238163,10,0
0.600734,-0.204107,43,1
0.216356,-0.060254,17,1
0.414026,-0.119652,14,1
0.317636,0.004615,27,1
0.078108,0.023426,25,1
0.029835,-0.116712,46,1
0.346479,0.124549,29,0
0.019034,-0.133403,49,1
0.165488,0.184674,46,0
0.725183,0.100196,3,0
0.708091,-0.217698,34,1
0.738580,0.258252,41,0
0.317153,0.026943,22,1
0.890019,0.228541,48,0
0.593831,0.277411,9,0
0.126026,-0.073702,27,1
0.143719,0.118600,35,1
0.693095,-0.102531,36,0
0.172944,-0.054331,23,1
0.507293,0.059942,17,0
0.991774,0.298406,47,0
0.004008,0.035462,30,0
0.016580,-0.108717,4,1
0.993085,0.131970,20,0
0.584639,-0.108302,50,1
0.126910,-0.283794,48,1
0.897302,0.117223,7,0
0.880380,0.273964,29,0
0.536200,-0.107542,36,0
0.621792,0.110633,24,0
0.273187,0.018057,17,1
0.050520,0.138300,29,1
0.594568,0.279415,12,0
0.294755,0.113626,12,0
0.663621,0.088184,30,0
0.836245,-0.287762,33,1
0.018161,-0.082659,19,1
0.595714,0.071102,5,0
0.231281,0.062980,37,1
0.873888,0.087781,33,0
0.253665,0.130491,8,1
0.610770,-0.028424,21,0
0.553541,-0.189344,32,0
0.396167,-0.012909,8,1
0.677621,-0.155265,30,0
0.725770,0.223293,41,0
0.566938,-0.178566,17,1
0.758422,-0.094748,17,0
0.983417,0.206737,33,0
0.419272,-0.154649,32,1
0.514583,0.225574,10,0
0.012470,0.031863,44,1
0.796029,-0.209054,12,1
0.520230,-0.178529,40,1
0.407961,-0.227748,17,1
0.094072,-0.062522,31,1
0.889656,-0.295106,20,1
0.395007,0.056798,35,0
0.682582,0.078910,46,0
0.149374,0.141718,7,0
0.961550,0.065853,9,0
0.178442,-0.144532,22,1
0.199542,0.113252,46,0
0.858983,0.051946,4,0
0.912583,-0.013656,34,0
0.212147,0.170835,41,0
0.469801,-0.197352,38,1
0.733495,-0.288011,33,0
0.878366,-0.086758,19,0
0.379053,-0.208825,48,1
0.517019,-0.209186,38,1
0.741716,-0.265490,22,1
0.731136,-0.193469,44,1
0.782960,0.013060,16,0
0.569934,-0.053754,32,0
0.104615,-0.190105,16,1
0.903973,0.296956,29,0
0.865573,-0.014031,10,0
0.798097,0.078176,10,0
0.099862,-0.036890,20,1
0.204397,-0.218044,34,1
0.743600,0.138046,7,0
0.023140,-0.212083,26,1
0.979225,-0.239366,50,0
0.377145,-0.284534,28,1
0.719313,0.021030,49,0
0.887571,0.296514,41,0
0.394630,0.088049,45,0
0.319132,-0.275042,14,1
0.608741,0.229900,46,0
0.580989,-0.176996,17,0
0.409140,0.181598,10,0
0.601775,-0.149644,47,0
0.935381,0.211628,11,0
0.467640,0.218415,45,0
0.196742,0.057690,35,1
0.377206,0.065438,44,0
0.394107,-0.156341,26,1
0.131109,0.105620,27,1
0.162872,0.082617,23,0
0.684562,-0.156696,9,0
0.339478,0.118282,5,0
0.954898,0.049475,3,0
0.243597,-0.295669,15,1
0.098925,0.158790,7,0
0.753505,0.009745,43,0
0.881036,0.067846,36,0
0.278113,0.226804,42,0
0.202088,-0.212830,28,1
0.185766,0.167144,4,1
0.522012,-0.135542,40,1
0.468417,0.285246,43,0
0.259440,0.266333,12,0
0.045173,0.211588,14,0
0.481491,0.190633,18,0
0.959332,0.095343,33,0
0.652519,-0.165082,39,1
0.495507,-0.276262,14,1
0.110692,-0.039521,49,1
0.252436,0.182981,35,0
0.294774,0.136458,3,0
0.764804,-0.099763,12,0
0.876711,0.298428,12,0
0.901642,0.049875,25,0
0.984569,0.268010,28,0
0.982367,-0.281668,3,1
0.952999,0.145601,20,0
0.071822,0.183042,32,1
0.137794,0.194674,21,1
0.304467,-0.243543,33,1
0.552898,-0.117257,25,1
0.096978,0.056850,39,1
0.845797,0.031160,42,0
0.616756,0.180669,19,0
0.542364,0.067214,3,0
0.165311,0.076032,12,1
0.253255,-0.204320,36,1
0.160312,-0.110428,38,1
0.851933,-0.254560,9,1
0.584228,-0.224565,40,1
0.735129,0.150478,20,0
0.296033,0.137948,17,0
0.371253,0.173211,47,0
0.404855,-0.117018,37,1
0.760015,-0.000541,20,0
0.772353,0.037702,32,0
0.206814,-0.149563,39,1
0.941539,-0.094170,40,0
0.120655,0.229655,41,0
0.896122,-0.288408,49,1
0.100396,-0.148924,39,1
0.264540,0.009318,49,1
0.846479,-0.139384,41,1
0.179492,0.132512,9,1
0.413568,0.112407,32,0
0.449859,-0.266694,23,1
0.245259,-0.161379,12,1
0.710245,0.013706,7,0
0.851335,-0.137806,18,0
0.874575,-0.236856,7,0
0.339322,-0.223120,4,1
0.530850,0.266193,38,0
0.248406,0.108543,28,0
0.244797,0.296854,24,0
0.161254,-0.028732,7,1
0.940019,0.128070,16,0
0.887989,0.206943,41,0
0.777359,-0.137285,15,0
0.517662,-0.249785,44,1
0.490608,0.274291,19,0
0.529746,-0.203170,5,1
0.536568,0.146232,19,0
0.434563,0.152340,30,0
0.131755,0.263111,48,0
