initial_mastery,aptitude,attempts_to_mastery
0.497719,0.930155,9.000
0.673374,0.502166,74.600
0.271868,0.948869,8.900
0.654885,0.880414,5.600
0.114916,0.620397,33.100
0.433119,0.504637,122.500
0.480385,0.629803,35.100
0.163538,0.866578,12.400
0.184204,0.943113,10.100
0.351469,0.729773,20.500
0.679739,0.739692,6.900
0.457626,0.637117,40.200
0.659814,0.848951,6.200
0.582617,0.915760,7.000
0.380429,0.609921,39.500
0.570858,0.899546,6.800
0.110702,0.692937,27.800
0.165486,0.857923,12.200
0.597657,0.941291,5.000
0.578090,0.646554,26.200
0.239584,0.897742,12.700
0.418462,0.756868,15.500
0.463609,0.767643,16.000
0.620643,0.936450,4.300
0.461864,0.884366,9.500
0.347543,0.789826,17.600
0.324510,0.907744,10.000
0.355529,0.716424,19.100
0.491159,0.559550,66.000
0.620494,0.533630,59.500
0.372338,0.516922,65.200
0.248704,0.899274,10.000
0.241997,0.783590,21.700
0.547609,0.568680,76.800
0.589941,0.648689,40.400
0.163167,0.625546,72.400
0.139935,0.719568,25.700
0.456660,0.807507,13.000
0.187704,0.839865,16.000
0.594799,0.580126,53.300
0.286201,0.565662,54.700
0.186323,0.633535,46.900
0.652582,0.605034,51.500
0.199319,0.925943,11.400
0.270832,0.852875,12.200
0.192168,0.885357,12.500
0.169294,0.502123,85.300
0.112689,0.918414,11.600
0.133237,0.701373,29.000
0.204785,0.716949,21.600
0.132029,0.626387,43.200
0.454686,0.602572,60.400
0.508429,0.588129,54.100
0.336178,0.520382,116.200
0.290795,0.558227,78.400
0.402716,0.517337,89.200
0.625003,0.661635,25.400
0.610679,0.583775,67.300
0.126085,0.838416,14.000
0.208899,0.877163,12.600
0.242047,0.816059,14.200
0.249633,0.772342,18.600
0.442740,0.683133,17.400
0.349757,0.851967,12.600
0.129552,0.614440,42.500
0.324168,0.505348,99.100
0.414252,0.528873,76.000
0.161003,0.621754,54.400
0.600075,0.542973,63.900
0.131177,0.723965,19.500
0.654905,0.820859,9.600
0.159468,0.708068,20.700
0.606145,0.584116,60.000
0.641592,0.613331,23.400
0.687742,0.692704,14.100
0.581216,0.683931,28.200
0.567687,0.938374,6.100
0.485490,0.609081,49.800
0.567398,0.748538,14.200
0.180731,0.778390,14.300
0.421641,0.503430,109.000
0.408534,0.795417,17.100
0.614543,0.771574,8.500
0.377680,0.693049,22.700
0.331054,0.677749,26.600
0.483738,0.744641,21.700
0.259878,0.584354,57.200
0.183861,0.770443,20.200
0.386726,0.907322,8.200
0.350134,0.910016,11.400
0.239542,0.513706,91.800
0.320507,0.837604,13.100
0.319835,0.699223,19.900
0.296497,0.626681,43.900
0.327678,0.783995,17.500
0.511446,0.867937,8.400
0.278126,0.792619,12.500
0.669315,0.798217,7.900
0.649809,0.850280,5.600
0.388546,0.613857,46.400
0.297017,0.923419,9.700
0.421261,0.770040,16.100
0.609136,0.588527,29.100
0.491552,0.530928,114.000
0.582635,0.837172,7.600
0.419633,0.605325,56.000
0.479751,0.929362,7.800
0.272893,0.821166,14.600
0.540936,0.926712,6.800
0.221443,0.695370,28.100
0.516879,0.736209,16.100
0.616431,0.588895,22.400
0.179262,0.654703,50.900
0.468628,0.815550,11.000
0.157057,0.823723,14.700
0.535429,0.734913,16.800
0.150696,0.661638,36.000
0.661564,0.678030,20.000
0.182445,0.520913,109.300
0.675328,0.634074,25.600
0.580531,0.653595,26.200
0.456209,0.771057,14.100
0.569574,0.852506,6.500
0.577069,0.505332,106.000
0.667616,0.751273,9.500
0.252030,0.526184,98.600
0.454046,0.684554,36.300
0.157030,0.793187,15.900
0.469699,0.510960,104.500
0.202775,0.581203,52.100
0.438970,0.827832,13.800
0.443458,0.641395,46.200
0.379591,0.579138,53.200
0.413579,0.702162,24.900
0.558354,0.790670,12.500
0.579547,0.577825,59.000
0.395292,0.667520,29.300
0.459756,0.522529,65.500
0.658742,0.624239,20.000
0.171840,0.709283,23.300
0.170262,0.927779,13.900
0.152625,0.802180,14.300
0.494718,0.755895,14.800
0.351165,0.827722,12.500
0.564593,0.881234,8.400
0.502739,0.729099,20.200
0.300183,0.510758,84.300
0.639020,0.546615,63.100
0.557519,0.794529,18.400
0.262321,0.820010,13.000
0.318515,0.904256,11.300
0.288664,0.569054,62.800
0.194567,0.572501,65.800
0.188670,0.528322,92.900
0.661676,0.539904,60.700
0.362742,0.775944,14.100
0.329992,0.645380,36.300
0.537811,0.658025,19.400
0.431796,0.882710,10.800
0.661684,0.533173,84.000
0.568181,0.504163,95.300
0.387622,0.838021,10.700
0.325816,0.893770,11.400
0.691979,0.741012,9.500
0.530656,0.536252,86.700
0.670717,0.835014,9.200
0.171087,0.932820,10.400
0.610320,0.523226,69.300
0.482244,0.649588,22.700
0.173153,0.637935,46.200
0.452955,0.842430,9.300
0.511658,0.849262,8.900
0.107382,0.543765,83.500
0.372591,0.566545,69.600
0.595240,0.578788,41.700
0.277215,0.868330,12.000
0.375129,0.685844,22.400
0.365388,0.654759,31.000
0.281156,0.841472,12.000
0.651065,0.757360,8.900
0.568776,0.654270,33.100
0.166353,0.807009,18.900
0.698221,0.666195,22.100
0.627520,0.522871,91.100
0.270345,0.522839,103.400
0.602138,0.672290,20.300
0.163852,0.880762,12.600
0.699463,0.693483,13.600
0.499411,0.509942,79.000
0.490075,0.762842,15.400
0.154264,0.599195,30.300
0.638220,0.825096,7.100
0.117400,0.782754,15.100
0.244497,0.624734,33.200
0.185813,0.546732,96.800
0.566061,0.564656,84.100
0.218923,0.580103,46.300
0.646383,0.619665,41.100
0.493761,0.662815,37.500
0.121698,0.935673,11.700
0.103258,0.708473,32.900
0.130995,0.797297,17.000
0.463555,0.736631,13.100
0.580889,0.876197,9.700
0.243132,0.627106,32.300
0.609645,0.575315,55.300
0.134339,0.752791,25.700
0.580578,0.567746,64.000
0.656677,0.811505,7.200
0.563265,0.668936,24.100
0.518872,0.919608,8.400
0.602788,0.788929,11.300
0.124091,0.827256,15.600
0.221069,0.678536,33.300
0.174954,0.579612,90.600
0.402719,0.776989,13.100
0.547113,0.541791,79.200
0.478007,0.552080,62.400
0.610679,0.906751,7.900
0.193128,0.687002,28.600
0.540773,0.787966,10.400
0.215825,0.759006,17.400
0.262455,0.718537,19.100
0.525943,0.851656,9.900
0.688123,0.879261,4.900
0.466926,0.948435,8.600
0.132700,0.920749,11.500
0.469785,0.849999,11.300
0.125410,0.844741,16.500
0.630487,0.837891,5.300
0.525747,0.626653,38.400
0.203877,0.736446,21.500
0.155033,0.631458,37.700
0.210120,0.910346,10.100
0.688016,0.948430,4.300
0.375136,0.881468,10.400
0.570449,0.911388,8.200
0.481845,0.868794,7.400
0.443448,0.717904,29.900
0.187078,0.831713,17.300
0.667615,0.920607,4.500
0.280806,0.526287,78.800
0.446810,0.505355,87.700
0.519866,0.822428,11.000
0.489540,0.787375,11.200
0.664357,0.747435,9.000
0.189063,0.709057,33.700
0.405012,0.646737,35.200
0.342421,0.605392,31.600
0.384501,0.628938,59.500
0.171531,0.785340,20.900
0.180457,0.810767,13.000
0.266845,0.711454,25.600
0.282823,0.517394,84.800
0.356742,0.628400,60.700
0.466593,0.568479,70.900
0.480777,0.881404,9.500
0.347087,0.676723,26.900
0.345270,0.839209,15.400
0.230577,0.762341,19.600
0.452984,0.939445,7.500
0.290225,0.672396,22.200
0.121636,0.720563,31.000
0.351040,0.661848,37.700
0.384480,0.779032,16.700
0.235356,0.717663,22.500
0.443475,0.867777,10.600
0.439463,0.557208,70.500
0.521201,0.522691,72.700
0.488769,0.718460,23.900
0.491460,0.729963,12.000
0.289728,0.870685,12.100
0.572459,0.605822,50.700
0.429487,0.590701,61.500
0.358851,0.725954,18.900
0.475607,0.948394,6.400
0.316394,0.561568,46.000
0.407644,0.704418,25.200
0.542023,0.898995,10.300
0.631842,0.578382,39.600
0.652634,0.687802,22.400
0.402180,0.623815,53.900
0.412165,0.739198,17.100
0.579922,0.772271,13.100
0.288670,0.823074,14.400
0.602429,0.837535,9.000
0.396485,0.547293,95.500
0.169514,0.650225,35.400
0.143235,0.701461,33.000
0.605196,0.797813,9.900
0.133341,0.782120,16.800
0.268367,0.731888,22.500
0.300478,0.794461,16.000
0.203797,0.739696,25.000
0.288336,0.660190,38.900
0.545616,0.625185,34.900
0.108810,0.700173,27.600
0.596304,0.934178,6.500
0.613929,0.882232,7.700
0.323357,0.769568,15.700
0.192168,0.513202,91.300
0.460504,0.857808,8.500
0.171804,0.642432,29.500
0.318952,0.542475,79.700
0.675058,0.886229,4.800
0.697279,0.693830,22.200
0.563263,0.933293,6.300
0.286577,0.655996,16.700
0.512599,0.920581,8.200
0.523244,0.771996,13.200
0.332705,0.654395,22.300
0.484533,0.935497,7.400
0.106437,0.656085,51.700
0.225435,0.883889,13.400
0.415053,0.691816,20.600
0.198251,0.632163,44.600
0.199544,0.651502,34.900
0.601783,0.663169,27.000
0.693480,0.746451,6.000
0.433582,0.652847,31.500
0.603442,0.564571,52.300
0.694193,0.767455,12.900
0.184958,0.539300,50.900
0.368947,0.788167,12.200
0.335544,0.648599,34.700
0.148030,0.903872,10.900
0.553198,0.736904,17.000
0.360267,0.801513,13.300
0.381596,0.795921,13.900
0.190404,0.848128,12.900
0.208556,0.943411,11.000
0.644262,0.870178,4.600
0.126789,0.677752,26.300
0.239711,0.689659,35.700
0.275236,0.664579,35.500
0.394119,0.808019,11.700
0.451867,0.548041,64.300
0.395974,0.860354,8.700
0.150469,0.616146,33.900
0.246200,0.869529,13.100
0.606153,0.668707,28.000
0.482553,0.937106,6.400
0.489489,0.846511,11.200
0.502122,0.542249,86.100
0.557742,0.558766,53.300
0.134865,0.909704,12.900
0.319965,0.609144,49.500
0.423716,0.734248,22.500
0.303074,0.588592,66.000
0.606687,0.861976,8.600
0.389544,0.620124,31.000
0.561177,0.816417,8.800
0.611209,0.787333,14.000
0.402875,0.881209,8.300
0.645731,0.642551,20.400
0.452274,0.502702,99.000
0.610165,0.619520,21.500
0.304354,0.568826,79.700
0.399290,0.728018,24.000
0.418847,0.587217,71.900
0.162988,0.557148,80.300
0.339132,0.878476,11.700
0.650403,0.914020,5.900
0.478499,0.820577,15.100
0.206504,0.766991,16.600
0.303313,0.602628,58.400
0.214962,0.839211,13.800
0.114894,0.630013,57.900
0.656476,0.634187,31.500
0.368924,0.665835,29.200
0.284521,0.725356,21.200
0.459086,0.506676,140.000
0.104389,0.505062,93.000
0.266813,0.881063,10.200
0.521820,0.888637,7.800
0.480262,0.789819,10.400
0.689084,0.583743,47.200
0.472215,0.635488,41.900
0.386504,0.856195,10.600
0.556860,0.940614,7.200
0.641997,0.845059,5.900
0.532418,0.865721,10.700
0.677927,0.654607,30.200
0.569203,0.816791,11.300
0.620081,0.519714,74.200
0.168462,0.726019,27.300
0.539448,0.619250,27.000
0.364053,0.647237,27.100
0.431862,0.816087,10.700
0.492461,0.548545,89.800
0.681889,0.509881,38.100
0.690747,0.658655,13.900
0.272937,0.516873,72.900
0.540252,0.783417,14.700
0.549990,0.840211,7.900
0.307896,0.567306,58.200
0.174322,0.814264,15.700
0.124568,0.738646,26.300
0.566406,0.556292,69.700
0.393820,0.748046,17.000
0.691324,0.886600,4.900
0.378984,0.599888,56.500
0.686750,0.694719,8.800
0.346946,0.858936,9.900
0.576209,0.877765,5.400
0.150892,0.857988,14.200
0.433277,0.875402,10.700
0.581236,0.943132,5.300
0.654821,0.904211,5.200
0.593550,0.729717,13.900
0.122182,0.744454,23.200
0.323621,0.591513,72.500
0.129219,0.657058,48.500
0.165569,0.581903,59.000
0.505183,0.948943,6.500
0.527955,0.798794,9.600
0.564232,0.735531,15.600
0.619274,0.535024,94.200
0.543659,0.912820,8.100
0.580523,0.546692,82.100
0.129378,0.500068,92.000
0.240721,0.725499,23.800
0.473139,0.704667,15.900
0.614875,0.732764,19.500
0.102700,0.720952,17.800
0.408778,0.802211,11.200
0.506372,0.879662,9.300
0.117764,0.673120,35.100
0.340813,0.806272,16.500
0.637381,0.744649,16.200
0.502968,0.702428,30.900
0.242595,0.546792,106.200
0.611669,0.895185,6.900
0.308819,0.774472,13.200
0.612007,0.664965,30.400
0.279366,0.608878,58.800
0.454192,0.610096,44.800
0.338164,0.543574,119.100
0.264895,0.885476,12.400
0.631935,0.817496,7.400
0.212556,0.710943,27.600
0.150887,0.891928,12.400
0.305156,0.902914,10.300
0.530583,0.829210,11.200
0.584459,0.923197,6.100
0.699246,0.734907,10.000
0.277817,0.858625,13.200
0.344765,0.884623,10.300
0.182093,0.679227,26.700
0.444923,0.902862,8.100
0.698548,0.647920,17.500
0.520529,0.614783,39.100
0.457128,0.917635,7.900
0.335421,0.562007,41.700
0.649179,0.598114,32.600
0.398150,0.850527,11.700
0.180620,0.775898,23.200
0.319227,0.638200,30.900
0.140300,0.804054,17.700
0.221187,0.880226,12.200
0.110601,0.737025,26.700
0.371968,0.623073,26.500
0.480724,0.631995,29.200
0.305975,0.509931,101.500
0.352229,0.566115,63.000
0.675526,0.864293,5.200
0.551178,0.592765,44.900
0.424514,0.507528,82.400
0.270725,0.771705,18.700
0.638198,0.856206,5.500
0.241058,0.856801,13.500
0.295206,0.912075,9.800
0.645439,0.586202,51.100
0.417725,0.760561,19.200
0.545391,0.624875,32.800
0.454447,0.868451,7.800
0.492064,0.736070,21.200
0.279630,0.853224,12.800
0.244823,0.577417,82.200
0.293495,0.879101,11.200
0.193265,0.518664,85.400
0.624589,0.836885,8.800
0.269948,0.808275,17.800
0.436894,0.915509,9.500
0.575185,0.587985,37.800
0.570294,0.683896,22.800
0.363032,0.682815,25.500
0.385754,0.670485,32.300
0.696821,0.534004,78.200
0.504758,0.850576,9.000
0.588783,0.556685,47.500
0.641532,0.924055,5.300
0.572554,0.834481,9.300
0.211108,0.702926,25.100
0.437302,0.555246,82.300
0.161136,0.728582,31.200
0.491753,0.600111,52.600
0.673210,0.780166,14.800
0.407639,0.867743,11.300
0.359783,0.739470,14.800
0.121506,0.606066,88.000
0.675865,0.721326,15.000
0.161802,0.550813,97.200
0.124647,0.554955,90.500
0.247640,0.944272,10.900
0.139318,0.622280,74.500
0.373071,0.900749,9.500
0.409653,0.738358,22.800
0.287542,0.552405,75.500
0.130576,0.859428,12.500
0.166960,0.720383,20.900
0.330703,0.735913,23.700
0.136317,0.766857,15.700
0.518914,0.718487,17.800
0.224212,0.877856,13.500
0.281243,0.896670,9.600
0.336475,0.509248,105.800
0.349966,0.588919,43.400
0.100996,0.668493,40.300
0.167242,0.931508,13.100
0.617659,0.935650,5.000
0.100740,0.897223,12.100
0.404900,0.508069,111.700
0.393701,0.760154,20.800
0.299856,0.727734,29.700
0.358796,0.656874,40.000
0.568349,0.871590,7.900
0.604722,0.601803,32.200
0.256209,0.869358,12.500
0.293494,0.615428,54.600
0.245490,0.823845,15.300
0.387918,0.825385,15.100
0.509955,0.539640,78.500
0.236952,0.845680,11.200
0.298441,0.589774,36.800
0.658231,0.656070,12.500
0.129142,0.948826,11.100
0.376462,0.735988,16.000
0.526935,0.642021,29.400
0.190272,0.929521,10.400
0.128424,0.608990,47.800
0.182923,0.852254,14.000
0.651294,0.797231,7.500
0.105556,0.939077,11.400
0.212993,0.564629,110.200
0.118770,0.712979,23.700
0.166378,0.605397,62.000
0.472090,0.567302,53.700
0.244983,0.601437,56.400
0.441527,0.652396,28.400
0.454117,0.753794,15.700
0.609661,0.806731,11.800
0.102845,0.578120,76.000
0.612022,0.911019,6.200
0.471471,0.611574,27.500
0.197646,0.543525,69.300
0.563762,0.852555,5.800
0.613295,0.866812,6.700
0.252558,0.818522,12.500
0.651276,0.795445,9.200
0.372674,0.675530,23.900
0.462055,0.661562,35.300
0.690790,0.514330,58.100
0.316922,0.513366,94.500
0.587896,0.686574,24.100
0.291039,0.893986,11.600
0.579528,0.903623,7.600
0.460440,0.571920,46.300
0.229813,0.679809,25.300
0.348416,0.635261,36.100
0.290581,0.728461,18.100
0.146865,0.742569,17.100
0.117901,0.637466,35.800
0.307887,0.818412,14.200
0.111420,0.624948,44.900
0.199293,0.863506,13.600
0.535110,0.800147,15.700
0.524855,0.561727,69.500
0.543148,0.918689,6.800
0.290292,0.745208,21.100
0.634012,0.896406,6.300
0.456298,0.933058,8.000
0.175616,0.669723,31.700
0.186231,0.813950,14.100
0.515857,0.648102,28.000
0.203766,0.684252,28.400
0.404376,0.769957,12.100
0.695065,0.948805,4.700
0.102405,0.751596,22.600
0.109948,0.643462,33.100
0.695851,0.823977,7.000
0.450783,0.643773,45.100
0.176146,0.512155,116.400
0.638381,0.812918,10.900
0.628228,0.930473,4.900
0.421720,0.644343,39.300
0.473075,0.807974,11.900
0.263912,0.738542,20.000
0.130312,0.828725,14.200
0.456741,0.934561,7.800
0.276853,0.810219,13.600
0.498173,0.791138,10.300
0.601747,0.509178,92.700
0.110896,0.663006,18.100
0.457428,0.778326,15.900
0.238768,0.772235,13.900
0.624333,0.790835,11.500
0.252199,0.822868,14.000
0.466462,0.703682,22.700
0.432125,0.582992,92.500
0.337700,0.715318,27.400
0.506572,0.608551,33.000
0.535462,0.892469,7.000
0.440163,0.591076,48.900
0.555053,0.653939,24.700
0.690050,0.880053,4.100
0.351563,0.609014,58.500
0.408750,0.894181,8.600
0.107482,0.748897,25.100
0.577617,0.568209,61.000
0.412138,0.591103,31.700
0.344777,0.554189,76.200
0.156443,0.678109,31.900
0.633794,0.503670,109.000
0.337004,0.767598,16.800
0.509549,0.784183,17.200
0.189624,0.831289,15.700
0.676930,0.774390,5.200
0.207065,0.616601,22.800
0.219725,0.809939,18.900
0.615390,0.763960,13.400
0.647550,0.714758,17.600
0.227288,0.853127,11.900
0.381881,0.576986,53.700
0.540097,0.508992,92.800
0.627019,0.659932,24.700
0.327432,0.568382,66.000
0.410212,0.568111,62.700
0.545030,0.525883,74.800
0.538682,0.579899,45.100
0.569776,0.734795,14.200
0.441960,0.684684,27.100
0.162769,0.582421,78.700
0.642384,0.947717,5.900
0.619344,0.714477,15.400
0.578858,0.783632,9.900
0.159917,0.697333,22.800
0.222638,0.561467,71.100
0.546160,0.828535,10.100
0.113884,0.565938,50.600
0.687535,0.545475,112.400
0.326287,0.511599,107.700
0.531588,0.740773,20.800
0.632543,0.947386,4.900
0.336778,0.791036,16.100
0.291479,0.518718,84.400
0.465245,0.897425,8.200
0.448594,0.592253,27.000
0.345484,0.861198,12.500
0.461065,0.612767,50.800
0.661229,0.883721,6.200
0.380584,0.888811,10.500
0.218045,0.768268,16.300
0.326324,0.774079,15.400
0.336464,0.607744,23.800
0.178665,0.804215,15.600
0.197723,0.786963,16.000
0.510737,0.607478,66.900
0.303687,0.813712,14.600
0.672939,0.762106,7.400
0.246158,0.503248,116.700
0.159355,0.844092,14.500
0.552103,0.732309,9.700
0.628622,0.775885,10.600
0.266868,0.895103,10.600
0.221253,0.565377,74.800
0.211460,0.850358,15.300
0.413207,0.623343,43.900
0.381050,0.938935,7.900
0.255664,0.924750,11.300
0.127104,0.883691,13.200
0.388895,0.867975,10.200
0.675599,0.796507,6.600
0.491512,0.601189,49.400
0.397304,0.517804,107.100
0.166415,0.695359,36.200
0.251462,0.862235,11.700
0.276864,0.827343,13.000
0.558882,0.650178,32.700
0.626026,0.948821,4.600
0.640985,0.762406,9.700
0.690741,0.926007,3.600
0.689420,0.513749,57.400
0.671799,0.834201,6.700
0.143093,0.862282,11.200
0.182676,0.871005,11.400
0.282680,0.542342,97.500
0.431739,0.637057,36.300
0.158187,0.767637,18.400
0.607478,0.748370,10.900
0.470054,0.860502,11.600
0.425419,0.775410,16.000
0.199187,0.782024,17.000
0.251953,0.571760,66.400
0.196187,0.642179,36.400
0.611160,0.534080,85.200
0.450537,0.556576,96.200
0.541078,0.837859,12.800
0.277620,0.828461,13.600
0.322752,0.854908,14.500
0.342913,0.637237,28.900
0.556009,0.724594,13.400
0.563412,0.753277,19.500
0.224088,0.612828,40.600
0.664923,0.654372,18.600
0.172393,0.897241,11.600
0.637673,0.508694,73.100
0.160237,0.613307,53.000
0.258724,0.731989,16.800
0.607887,0.620462,26.500
0.207695,0.824384,14.200
0.348141,0.809306,16.500
0.369916,0.524980,95.000
0.247155,0.603966,43.100
0.526147,0.735280,23.500
0.610801,0.621645,39.800
0.624745,0.547358,66.800
0.303593,0.557660,69.000
0.418510,0.924645,7.600
0.249044,0.806407,15.600
0.246878,0.947640,9.600
0.196752,0.703451,23.400
0.664011,0.821053,7.200
0.632793,0.880207,5.500
0.566415,0.622036,35.500
0.410597,0.537661,63.700
0.394365,0.930718,8.400
0.417847,0.572622,65.300
0.421941,0.834674,11.000
0.360738,0.839255,12.900
0.179053,0.922334,10.800
0.175398,0.570322,76.100
0.671350,0.677666,15.100
0.389218,0.784195,12.300
0.671923,0.605032,59.700
0.198146,0.933506,10.200
0.432650,0.754261,17.200
0.224630,0.768365,18.600
0.251911,0.766110,19.600
0.118033,0.612884,62.200
0.171372,0.690637,27.800
0.650109,0.723158,8.900
0.292920,0.933929,9.300
0.464878,0.817613,11.300
0.379008,0.913426,8.900
0.340271,0.514727,94.900
0.419132,0.731347,18.400
0.212343,0.633240,28.200
0.693162,0.694194,16.800
0.590985,0.908493,8.700
0.544969,0.722372,15.100
0.381256,0.788148,15.200
0.191726,0.777222,20.000
0.652400,0.908272,5.100
0.304832,0.506836,96.700
0.130064,0.926001,11.900
0.305442,0.525450,110.300
0.576674,0.834491,9.600
0.473625,0.604943,45.800
0.550503,0.547540,75.700
0.576181,0.714462,23.200
0.227173,0.573696,51.700
0.654270,0.715115,15.300
0.362794,0.894087,11.400
